n_atoms	energy_per_atom	memory_usage	process_time
464	-2.92789292749226	1233.55078125	3.6236913204193115
3712	-2.9278929274922594	1568.80078125	1.320551872253418
12528	-2.9278929274922594	2168.05078125	1.4918816089630127
464	-2.92789292749226	1237.08203125	3.564401626586914
3712	-2.9278929274922594	1572.33203125	1.309394359588623
12528	-2.9278929274922594	2173.08203125	1.4903607368469238
29696	-2.92789292749226	3334.2734375	3.201294183731079
29696	-2.92789292749226	2696.83203125	5.682912826538086
29696	-2.92789292749226	2700.69140625	5.674417734146118
