atoms,err_energy,err_force_x,err_force_y,err_force_z
64,41.40153873814789,-47.17425447273803,-47.173818939885585,-47.17212091742696
64,41.42544325226582,-47.509442443964055,-48.023061050814846,-47.36808364130629
64,41.47346098468763,-47.784863405731755,-48.77961397808386,-47.46444578991535
64,41.5465560511592,-48.135884507788354,-49.642308072637434,-47.68136683757384
64,41.6428846894048,-48.38458609333765,-50.44649128256094,-47.811898068786434
64,26.448823959094092,-18.337231634491395,-16.041921130103905,-17.034354943921926
64,26.474762454892442,-18.017170755050905,-16.77984956103836,-17.596570522552145
64,26.515346102352844,-17.786934343275544,-17.48895321325553,-18.098323152338438
64,26.57034045440021,-17.550866254213886,-18.32153240289642,-18.664601302003316
64,26.639323947085902,-17.333296436346163,-19.01950528715926,-19.26020421122283
64,38.87566448772928,-61.4732097952658,-62.0891415067968,-60.097988485431664
64,38.93924548110306,-61.14765792647728,-61.46779312694806,-59.94699876640886
64,39.02394540592802,-60.880554186900554,-60.9317323394666,-59.891291325278466
64,39.12931530218522,-60.59038399266592,-60.28770313709409,-59.78505568676934
64,39.25514142197972,-60.298840857665084,-59.806480992955066,-59.714428293899914
64,31.35002678241028,-29.44943453672654,-25.66226946169626,-28.616530381347875
64,31.345731582503422,-30.399152094708935,-25.734883101296518,-28.535235066547184
64,31.359688217644788,-31.22605439227301,-25.997312297476157,-28.456729270594625
64,31.392767394486043,-32.11267450846935,-26.236747127145332,-28.354062685564518
64,31.444297852731395,-32.99887804310819,-26.574380200143505,-28.35314390336458
16,41.419495014920486,-47.17956861683813,47.1910026411731,-47.18980586772826
16,41.448372274592415,-46.89464197873548,48.1610876247267,-46.335009538797514
16,41.5018992747056,-46.56959502667957,49.19947625567489,-45.50110355484079
16,41.57914755362846,-46.345393448929165,50.23883411620495,-44.58694582461519
16,41.68135394720407,-46.054621834442315,51.31706250266913,-43.80936711159973
16,39.71289257964328,-58.19422551594564,60.92894144738778,-57.28829385352112
16,39.786209573521525,-57.87921384364743,60.80707539652291,-57.22480347230232
16,39.878795763466535,-57.487832476662675,60.60218632680261,-57.21607757515608
16,39.99513888742756,-57.12745423148046,60.39324204135436,-57.21730865763959
16,40.13034285356554,-56.76827050181577,60.21487079402385,-57.21662319041988
16,42.830100617613724,-58.6242277963218,59.37858098468166,-60.953109260825784
16,42.88644422543753,-57.35541990991785,59.62944005699998,-61.598246448116384
16,42.967265029301146,-56.11171667604055,59.91704018418205,-62.282482322325514
16,43.07202874740268,-54.869381868886705,60.2116553386731,-62.95402718962231
16,43.19986009570176,-53.676503159992855,60.49644014945114,-63.62912829014659
16,52.29956888753229,-35.52969393596252,38.43874976068931,-39.223277409371484
16,52.38612369849393,-36.00058773093368,38.655807904681176,-41.30793770369055
16,52.502905525599445,-36.584086405690705,38.863365149387796,-43.38314228727864
16,52.65031596791836,-37.264394864772434,39.14546081282122,-45.509467572801476
16,52.82770760226008,-38.04057427257495,39.48568126147145,-47.59783724158843
32,41.41061748821562,-47.18853670584877,-47.1947364827118,47.18638948689459
32,41.42733169895241,-46.68830063537766,-47.75209839032296,47.56681281183808
32,41.46802492772217,-46.22128596400938,-48.30476089536918,47.8795993504946
32,41.53200730372575,-45.78825844723814,-48.88981291918942,48.25868640677769
32,41.622358768089285,-45.36717401801281,-49.485245411475375,48.654444137846205
32,42.27895479205568,-29.5350741248451,-31.492023773909025,28.82896160296521
32,42.35916962301278,-28.968725240311226,-32.19582399240971,29.487078150074385
32,42.465736960073386,-28.38163923563614,-33.005258904204965,30.21131956089327
32,42.59876555609221,-27.858358418270768,-33.82891088258803,30.971711840700777
32,42.75683838686728,-27.397110291376624,-34.70880846196274,31.792482865773348
32,38.81273740863067,-51.92070410345122,-53.743708670003095,53.31000578392746
32,38.880383099898275,-51.94446812593795,-53.91260260677379,54.115497040752075
32,38.97090110830437,-52.09708083308322,-54.12204690119574,54.974669671967256
32,39.08160472269229,-52.226231011442934,-54.31631782989024,55.85972295202879
32,39.2138768478425,-52.363681159897006,-54.50614074661837,56.74790888039281
32,44.60012424111915,-38.16026631556512,-39.626082839286376,40.93387853195723
32,44.68972349677447,-38.83877471683703,-40.53255145758627,40.74456648439995
32,44.80437034426554,-39.64640544305962,-41.523850239740334,40.57459531277632
32,44.94379648442948,-40.45867921478699,-42.553700501877074,40.4824685385249
32,45.108340658183806,-41.323714010848754,-43.606854079800904,40.485581197499236
